nature;date;treatment;density;area
nec;36;N1;21.1989;0.485665
nec;36;N1;28.5879;0.479648
nec;36;N1;28.258;0.605578
nec;36;N1;29.3472;0.798158
nec;36;N1;52.0033;0.557878
nec;36;N1;60.9846;0.602211
nec;36;N2;8.6529;0.179153
nec;36;N2;12.1828;0.241332
nec;36;N2;14.9993;0.248704
nec;36;N2;15.0071;0.293149
nec;36;N2;14.1309;0.3139
nec;36;N2;12.3791;0.358366
nec;36;N2;18.1866;0.364221
nec;36;N2;20.306;0.410121
nec;36;N2;18.0272;0.459038
nec;36;N2;20.8434;0.464929
nec;36;N2;33.8624;0.455879
nec;36;N2;34.2231;0.506245
nec;36;N2;40.9449;0.710607
nec;36;N2;56.1106;0.904494
nec;36;N2;99.9197;0.886176
nec;36;N2;103.625;0.942426
